,ENSEMBLE,REAL,INTERPOLATE_RELPERM_INTERPOLATE_GO,INTERPOLATE_RELPERM_INTERPOLATE_WO,LOG10_MULTFLT_MULTFLT_F1,LOG10_MULTFLT_MULTFLT_F2,LOG10_MULTFLT_MULTFLT_F3,LOG10_MULTFLT_MULTFLT_F4,LOG10_MULTFLT_MULTFLT_F5,LOG10_MULTZ_MULTZ_MIDREEK,MULTFLT_MULTFLT_F1,MULTFLT_MULTFLT_F2,MULTFLT_MULTFLT_F3,MULTFLT_MULTFLT_F4,MULTFLT_MULTFLT_F5,MULTZ_MULTZ_MIDREEK,RMSGLOBPARAMS_COHIBA_MODEL_MODE,RMSGLOBPARAMS_FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
63,iter-1,63,-0.369976,-0.958755,-0.588169,-1.09069,-0.916211,-1.77077,-2.01919,-1.003,0.258126,0.081154,0.12128,0.0169522,0.00956768,0.0993113,1,1702.52,-0.369976,-0.958755,0.258126,0.081154,0.12128,0.0169522,0.00956768,0.0993113,1,1702.52
64,iter-1,64,-0.58181,-0.999974,-1.43039,-1.90997,-0.0954718,-3.52762,-3.35867,-4.75526,0.0371202,0.0123036,0.802654,0.000296741,0.000437854,1.75688e-05,1,1705.06,-0.58181,-0.999974,0.0371202,0.0123036,0.802654,0.000296741,0.000437854,1.75688e-05,1,1705.06
65,iter-1,65,-0.662375,-0.912054,-0.155631,-1.5023,-0.715764,-1.89369,-1.97314,-2.33493,0.698826,0.0314556,0.192414,0.0127734,0.010638,0.00462454,1,1702.44,-0.662375,-0.912054,0.698826,0.0314556,0.192414,0.0127734,0.010638,0.00462454,1,1702.44
66,iter-1,66,-0.201954,-0.813518,-1.65192,-0.965169,-0.831217,-3.88617,-1.76483,-5.90507,0.0222886,0.108351,0.147497,0.000129966,0.0171856,1.24432e-06,1,1700.94,-0.201954,-0.813518,0.0222886,0.108351,0.147497,0.000129966,0.0171856,1.24432e-06,1,1700.94
67,iter-1,67,0.331543,-0.92163,-1.10076,-0.93268,-0.433318,-2.7129,-3.88269,-4.36723,0.0792936,0.116767,0.368707,0.00193688,0.00013101,4.29306e-05,1,1705.02,0.331543,-0.92163,0.0792936,0.116767,0.368707,0.00193688,0.00013101,4.29306e-05,1,1705.02
68,iter-1,68,-0.683774,-0.746668,-1.61866,-0.681746,-1.38651,-3.13524,-2.30502,-7.71958,0.0240624,0.208091,0.0410664,0.000732426,0.00495425,1.90731e-08,1,1704.18,-0.683774,-0.746668,0.0240624,0.208091,0.0410664,0.000732426,0.00495425,1.90731e-08,1,1704.18
69,iter-1,69,-0.168686,-0.976315,-0.248606,-2.89771,-0.362705,-4.46285,-2.08626,-6.70652,0.564149,0.00126558,0.433806,3.44469e-05,0.00819854,1.96553e-07,1,1701.31,-0.168686,-0.976315,0.564149,0.00126558,0.433806,3.44469e-05,0.00819854,1.96553e-07,1,1701.31
70,iter-1,70,0.24231,-0.982463,-0.048706,-0.525554,-0.96827,-2.90438,-2.35652,-2.89839,0.89391,0.298158,0.10758,0.00124629,0.00440032,0.00126361,1,1704.17,0.24231,-0.982463,0.89391,0.298158,0.10758,0.00124629,0.00440032,0.00126361,1,1704.17
71,iter-1,71,-0.904608,-0.889711,-0.2342,-1.78774,-0.556262,-4.24305,-1.60052,-2.54215,0.583177,0.0163028,0.277804,5.71417e-05,0.0250887,0.00286981,1,1700.96,-0.904608,-0.889711,0.583177,0.0163028,0.277804,5.71417e-05,0.0250887,0.00286981,1,1700.96
72,iter-1,72,-0.950578,-0.997825,-0.61164,-1.0859,-0.795313,-3.59149,-2.79956,-4.05825,0.244546,0.0820532,0.160209,0.000256162,0.00158649,8.74479e-05,1,1702.05,-0.950578,-0.997825,0.244546,0.0820532,0.160209,0.000256162,0.00158649,8.74479e-05,1,1702.05
73,iter-1,73,-0.963583,-0.949956,-0.0864491,-0.51011,-0.22428,-2.79286,-2.27742,-1.06853,0.819504,0.308951,0.596651,0.00161117,0.00527935,0.0854017,1,1704.56,-0.963583,-0.949956,0.819504,0.308951,0.596651,0.00161117,0.00527935,0.0854017,1,1704.56
